epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3604,2.48306,4.4054,7.35555,1.81797,0.01879,0.07159,0.03366,0.01922,0.00888,0.05788,0.02936,0.01308,2.05511,3.61576,7.04331,1.46391,0.00011669,0.00011669,0.00011669
2,23.6241,2.13985,3.82642,6.64048,1.54959,0.0429,0.15896,0.10033,0.05106,0.02185,0.16957,0.09728,0.04087,1.76451,3.26439,6.94646,1.3319,0.000248384,0.000248384,0.000248384
3,30.4268,1.85705,3.19562,5.49682,1.3524,0.03871,0.22359,0.1647,0.07488,0.02981,0.21986,0.15924,0.06853,1.74457,3.27409,6.8253,1.31519,0.0003783,0.0003783,0.0003783
4,37.0047,1.84376,3.03291,4.60043,1.32335,0.03814,0.20192,0.14946,0.07101,0.03052,0.20053,0.14667,0.06323,1.7316,3.34493,6.65523,1.37036,0.00050644,0.00050644,0.00050644
5,43.484,1.72314,2.8276,3.92836,1.29212,0.03679,0.17353,0.09803,0.04563,0.02369,0.16781,0.09141,0.03569,1.73186,4.29087,6.66228,1.38176,0.000632802,0.000632802,0.000632802
6,50.0211,1.734,2.92228,3.8784,1.3255,0.0389,0.19135,0.10967,0.05576,0.02853,0.18417,0.09376,0.03877,1.76756,4.31512,6.41691,1.38944,0.000757387,0.000757387,0.000757387
7,56.3334,1.67304,2.7283,3.63191,1.26929,0.0448,0.23081,0.15495,0.08302,0.03128,0.19791,0.12486,0.05802,1.69245,4.03109,6.13526,1.3472,0.000880194,0.000880194,0.000880194
8,62.3784,1.6566,2.7834,3.70804,1.26728,0.048,0.25509,0.17991,0.09744,0.03821,0.23151,0.15578,0.07571,1.65828,3.49514,5.92052,1.30908,0.00100122,0.00100122,0.00100122
9,70.1675,1.65842,2.85859,3.55451,1.25002,0.37035,0.14604,0.15056,0.07795,0.31872,0.13765,0.14328,0.06398,1.68125,3.36722,5.64737,1.31991,0.00112048,0.00112048,0.00112048
10,76.3736,1.59585,2.62897,3.3575,1.21839,0.6062,0.1363,0.24061,0.13547,0.46239,0.10272,0.20504,0.09499,1.64584,3.38444,5.00552,1.28096,0.00123795,0.00123795,0.00123795
11,83.3662,1.67067,2.95469,3.49904,1.25429,0.53511,0.16594,0.23676,0.13164,0.48092,0.1473,0.22603,0.11066,1.70826,3.03839,4.87522,1.33475,0.00135365,0.00135365,0.00135365
12,89.7724,1.64291,2.73693,3.46221,1.2426,0.52315,0.20364,0.2591,0.13719,0.43635,0.17144,0.23037,0.11027,1.6398,2.99057,4.53118,1.29048,0.00146757,0.00146757,0.00146757
13,97.2222,1.64587,2.74905,3.28525,1.23738,0.48676,0.23581,0.27141,0.15467,0.39101,0.2045,0.24632,0.1243,1.59972,2.89948,4.07027,1.27,0.00153371,0.00153371,0.00153371
14,103.502,1.55119,2.6931,3.12707,1.20708,0.49268,0.23486,0.27241,0.16041,0.40896,0.21016,0.2473,0.12156,1.56658,3.16326,3.92987,1.27476,0.0015226,0.0015226,0.0015226
15,109.837,1.54444,2.63711,3.10865,1.22187,0.47373,0.2323,0.2704,0.16163,0.4132,0.21465,0.25099,0.12121,1.51438,2.85747,3.83973,1.26958,0.00151149,0.00151149,0.00151149
16,116.236,1.52772,2.56096,3.06385,1.211,0.45376,0.2463,0.28425,0.16988,0.39583,0.21949,0.2588,0.12999,1.51617,2.70244,3.73814,1.22211,0.00150038,0.00150038,0.00150038
17,122.6,1.49722,2.50167,3.00899,1.18767,0.42413,0.25276,0.27541,0.16606,0.38696,0.23469,0.26028,0.1336,1.51406,2.60578,3.63313,1.2304,0.00148928,0.00148928,0.00148928
18,128.856,1.51947,2.55894,2.96727,1.19775,0.46166,0.25426,0.28066,0.16568,0.43284,0.24844,0.27184,0.14078,1.50354,2.53971,3.34316,1.21616,0.00147817,0.00147817,0.00147817
19,135.223,1.51514,2.54984,2.95134,1.18881,0.49314,0.28223,0.29012,0.17656,0.40241,0.25462,0.26544,0.13776,1.46526,2.45453,2.91029,1.1938,0.00146706,0.00146706,0.00146706
