epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1559,2.54487,7.00801,2.20375,0.04358,0.41199,0.10527,0.03404,2.23327,6.93509,1.73253,0.00031673,0.00031673,0.00031673
2,22.1628,2.19248,4.66223,1.80148,0.02136,0.44856,0.13333,0.03631,2.17426,6.43182,1.75269,0.000645798,0.000645798,0.000645798
3,29.2783,2.13194,4.18051,1.72507,0.49603,0.28696,0.26483,0.08715,2.11629,5.75439,1.74323,0.000970423,0.000970423,0.000970423
4,36.4301,2.05613,3.88901,1.73382,0.5646,0.28847,0.36723,0.11116,2.16317,4.91265,1.86676,0.0012906,0.0012906,0.0012906
5,43.6026,2.05352,3.80398,1.72689,0.38966,0.40529,0.33411,0.11274,2.22348,4.54745,1.89042,0.00160634,0.00160634,0.00160634
6,50.672,2.07101,3.74503,1.67392,0.59977,0.51038,0.55194,0.19189,2.10414,3.53376,1.65419,0.00161146,0.00161146,0.00161146
7,57.8697,2.01994,3.63414,1.6511,0.60001,0.54999,0.57564,0.22117,2.06824,3.2451,1.63799,0.00160035,0.00160035,0.00160035
8,65.1113,1.9634,3.50815,1.59715,0.57789,0.53813,0.54357,0.19015,2.1946,3.20469,1.71615,0.00158925,0.00158925,0.00158925
9,72.0903,1.97898,3.35309,1.59095,0.644,0.59895,0.60939,0.22063,2.11674,3.12884,1.68122,0.00157814,0.00157814,0.00157814
10,79.1851,1.97122,3.34856,1.57007,0.64302,0.588,0.63097,0.23153,2.05912,3.02971,1.62401,0.00156703,0.00156703,0.00156703
11,86.1214,1.94375,3.23869,1.55994,0.6603,0.55724,0.60669,0.21529,2.13122,3.18275,1.66642,0.00155592,0.00155592,0.00155592
12,93.0404,1.95932,3.22593,1.56951,0.60681,0.60495,0.59697,0.22035,2.09213,3.04385,1.68108,0.00154481,0.00154481,0.00154481
13,99.925,1.92971,3.25508,1.5776,0.64181,0.51216,0.56749,0.21101,2.09036,3.14643,1.65921,0.00153371,0.00153371,0.00153371
14,106.836,1.95036,3.17569,1.60721,0.6946,0.63131,0.64979,0.24474,2.04526,2.83975,1.66874,0.0015226,0.0015226,0.0015226
15,113.686,1.91544,3.11064,1.57907,0.73402,0.67327,0.70379,0.26184,2.00663,2.74946,1.59937,0.00151149,0.00151149,0.00151149
16,120.811,1.90907,3.01455,1.53682,0.70188,0.63122,0.67102,0.24423,2.14156,2.82644,1.69408,0.00150038,0.00150038,0.00150038
