    epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9524,2.51083,4.5937,3.82211,1.86736,0.01478,0.06834,0.02159,0.01024,0.0109,0.0529,0.01652,0.00755,1.99649,3.68979,3.60794,1.45455,0.00011669,0.00011669,0.00011669
2,17.1101,2.07861,3.85737,3.27975,1.523,0.02743,0.12879,0.06477,0.03029,0.02553,0.14004,0.07979,0.0288,1.73391,3.32112,3.46355,1.28101,0.000247987,0.000247987,0.000247987
3,22.5755,1.87074,3.28472,2.34436,1.37931,0.04074,0.22062,0.12131,0.0618,0.02573,0.1839,0.1125,0.0486,1.74071,3.41707,3.184,1.36151,0.000377084,0.000377084,0.000377084
4,28.9012,1.74612,3.06564,1.94924,1.30308,0.0461,0.2484,0.13763,0.06983,0.03082,0.21341,0.11646,0.05125,1.68294,3.18273,3.00874,1.33549,0.00050398,0.00050398,0.00050398
5,34.8816,1.71786,3.02666,1.93828,1.29732,0.0474,0.24226,0.13453,0.07466,0.30602,0.12678,0.12433,0.05787,1.58745,3.19552,2.91362,1.34176,0.000628676,0.000628676,0.000628676
6,41.0935,1.68027,2.94048,1.83064,1.28143,0.60698,0.08723,0.18057,0.10452,0.40354,0.08333,0.15569,0.07598,1.63939,3.16727,2.69999,1.3277,0.000751171,0.000751171,0.000751171
7,46.1386,1.63337,2.85663,1.7687,1.25182,0.46328,0.10262,0.14538,0.08297,0.38268,0.07382,0.12725,0.06308,1.63139,2.97456,2.67498,1.31593,0.000871466,0.000871466,0.000871466
8,51.2251,1.66136,2.87141,1.73007,1.24577,0.39138,0.12602,0.15059,0.08523,0.39858,0.07162,0.13232,0.06429,1.61407,2.90818,2.61533,1.29003,0.00098956,0.00098956,0.00098956
9,56.3353,1.5941,2.77841,1.75613,1.23913,0.44096,0.12634,0.16564,0.09471,0.34979,0.11489,0.14432,0.07007,1.64392,2.96821,2.39091,1.34062,0.00110545,0.00110545,0.00110545
10,61.5933,1.6425,2.90109,1.71984,1.25372,0.46727,0.16578,0.1986,0.11668,0.38299,0.15237,0.1769,0.08562,1.55923,2.79712,2.15993,1.26746,0.00121915,0.00121915,0.00121915
11,66.8394,1.62137,2.75263,1.65547,1.24969,0.52034,0.19574,0.23901,0.14586,0.51244,0.18706,0.22615,0.11043,1.51336,2.6972,1.99174,1.23549,0.00133064,0.00133064,0.00133064
12,72.1568,1.66143,2.89896,1.65314,1.26219,0.56707,0.19667,0.2555,0.14402,0.51587,0.18623,0.2425,0.11687,1.6135,2.80981,2.08088,1.27442,0.00143993,0.00143993,0.00143993
13,77.4167,1.73205,2.82417,1.65728,1.26709,0.53448,0.21889,0.25309,0.14636,0.4861,0.20821,0.23956,0.11961,1.6206,2.75618,2.07027,1.30089,0.00150197,0.00150197,0.00150197
14,82.7033,1.63801,2.76751,1.59366,1.23822,0.53717,0.23438,0.25599,0.15269,0.49076,0.22279,0.24167,0.11644,1.63678,2.66654,1.9218,1.27835,0.00148821,0.00148821,0.00148821
15,87.7823,1.60537,2.72719,1.62285,1.23716,0.55979,0.24344,0.26305,0.15886,0.51297,0.22681,0.24398,0.1204,1.57508,2.57872,1.75365,1.24937,0.00147446,0.00147446,0.00147446
16,98.8732,1.5658,2.60991,1.54363,1.21141,0.5377,0.24871,0.27735,0.16903,0.48678,0.23412,0.2596,0.13128,1.51753,2.54689,1.63439,1.2108,0.00146071,0.00146071,0.00146071
17,104.193,1.58463,2.70394,1.56696,1.21621,0.49825,0.25391,0.27871,0.16804,0.43408,0.23268,0.25842,0.13501,1.50899,2.58323,1.6158,1.1996,0.00144696,0.00144696,0.00144696
18,109.479,1.52864,2.60433,1.51234,1.19636,0.4438,0.27006,0.27378,0.16443,0.40478,0.24212,0.24975,0.12479,1.56635,2.62032,1.57077,1.22768,0.0014332,0.0014332,0.0014332
19,114.825,1.53259,2.65727,1.50336,1.20547,0.59832,0.26012,0.29682,0.18408,0.52042,0.24778,0.27427,0.13681,1.44909,2.60858,1.42206,1.19124,0.00141945,0.00141945,0.00141945
20,119.939,1.54352,2.67977,1.61,1.22292,0.5949,0.24377,0.29523,0.1748,0.52817,0.22886,0.26368,0.13094,1.45095,2.54524,1.50471,1.18467,0.0014057,0.0014057,0.0014057
21,125.163,1.56748,2.67269,1.57812,1.21059,0.52677,0.25746,0.29669,0.17477,0.47302,0.23733,0.26363,0.11851,1.50885,2.6527,1.59233,1.19814,0.00139195,0.00139195,0.00139195
22,130.245,1.53171,2.60907,1.55148,1.18979,0.47112,0.27178,0.2903,0.17401,0.44205,0.25106,0.26662,0.12761,1.49817,2.61413,1.55189,1.20853,0.00137819,0.00137819,0.00137819
23,135.55,1.50322,2.59212,1.47771,1.19336,0.48748,0.28203,0.29305,0.18403,0.46993,0.25021,0.27972,0.14659,1.40893,2.56699,1.44167,1.18965,0.00136444,0.00136444,0.00136444
24,143.013,1.47463,2.55793,1.45319,1.17889,0.44394,0.30249,0.288,0.18414,0.45486,0.25941,0.27058,0.1449,1.40412,2.54921,1.42459,1.19183,0.00135069,0.00135069,0.00135069
25,148.26,1.47569,2.61653,1.44175,1.17171,0.51748,0.28345,0.29639,0.18919,0.48248,0.2508,0.27414,0.13177,1.44993,2.64333,1.48125,1.20483,0.00133693,0.00133693,0.00133693
26,153.426,1.44581,2.46369,1.41819,1.16227,0.53364,0.27705,0.30815,0.19541,0.48184,0.25983,0.294,0.15195,1.38283,2.42138,1.48131,1.17531,0.00132318,0.00132318,0.00132318
27,158.666,1.49092,2.65561,1.45794,1.19646,0.54881,0.2861,0.31522,0.19752,0.49788,0.26305,0.29823,0.15661,1.39084,2.45065,1.40929,1.17455,0.00130943,0.00130943,0.00130943
28,164.937,1.48602,2.66241,1.42618,1.18246,0.57409,0.29078,0.31939,0.2046,0.46837,0.26483,0.28897,0.15247,1.38744,2.5138,1.37811,1.16741,0.00129568,0.00129568,0.00129568
29,170.257,1.4799,2.56514,1.43599,1.16705,0.54466,0.28874,0.31705,0.20237,0.54405,0.26803,0.29474,0.15004,1.40685,2.49884,1.37456,1.1709,0.00128192,0.00128192,0.00128192
30,175.429,1.43959,2.52402,1.38755,1.15048,0.64886,0.28028,0.31629,0.20226,0.60461,0.26981,0.29899,0.15517,1.39379,2.45877,1.3276,1.16589,0.00126817,0.00126817,0.00126817
31,180.507,1.45854,2.59116,1.41785,1.17067,0.59998,0.29624,0.31964,0.20937,0.57216,0.28263,0.3061,0.16187,1.35347,2.34551,1.286,1.15385,0.00125442,0.00125442,0.00125442
32,185.577,1.42457,2.4034,1.35468,1.14652,0.5975,0.3016,0.31406,0.20433,0.52314,0.28644,0.29933,0.15293,1.35228,2.40121,1.30339,1.14109,0.00124066,0.00124066,0.00124066
33,190.919,1.37023,2.36679,1.30947,1.11259,0.60142,0.28551,0.3144,0.2042,0.55784,0.26804,0.3,0.15484,1.40778,2.46465,1.30951,1.1489,0.00122691,0.00122691,0.00122691
34,196.093,1.40069,2.4251,1.33798,1.14467,0.57904,0.29123,0.317,0.21215,0.57284,0.27611,0.30284,0.1585,1.35558,2.39623,1.28884,1.13673,0.00121316,0.00121316,0.00121316
