epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3025,2.48554,7.08123,2.1533,0.08126,0.36903,0.11481,0.04287,2.14686,6.7957,1.75873,0.00031673,0.00031673,0.00031673
2,26.0649,2.14422,4.61798,1.79721,0.48633,0.21201,0.31541,0.10752,2.10275,5.2223,1.757,0.000644718,0.000644718,0.000644718
3,32.8869,2.03591,4.11699,1.74324,0.54038,0.30209,0.33852,0.10757,2.17399,4.85505,1.75396,0.000967154,0.000967154,0.000967154
4,40.0199,2.01413,3.90525,1.68708,0.37174,0.3907,0.33949,0.11668,2.11341,4.5443,1.66075,0.00128404,0.00128404,0.00128404
5,47.0458,2.00546,3.711,1.64936,0.47187,0.51603,0.42617,0.13434,2.24859,4.75254,1.7249,0.00159537,0.00159537,0.00159537
6,55.0137,1.96898,3.67927,1.61348,0.44187,0.47367,0.41802,0.1484,2.15773,3.78069,1.69191,0.00159761,0.00159761,0.00159761
7,61.8833,1.97145,3.50015,1.62395,0.51655,0.46564,0.47287,0.17266,2.11874,3.54302,1.73791,0.00158373,0.00158373,0.00158373
8,68.2196,1.96753,3.49852,1.63947,0.60629,0.56129,0.57584,0.21409,2.15212,3.15627,1.7291,0.00156986,0.00156986,0.00156986
9,74.513,1.91428,3.45976,1.58182,0.63258,0.54194,0.58865,0.22858,2.05733,3.06599,1.66372,0.00155598,0.00155598,0.00155598
10,80.7618,1.92453,3.40075,1.61207,0.6775,0.55532,0.61589,0.21794,2.08593,3.15537,1.66932,0.0015421,0.0015421,0.0015421
11,86.9519,1.8898,3.2421,1.58086,0.57915,0.63956,0.627,0.23972,2.03614,2.98671,1.60115,0.00152822,0.00152822,0.00152822
12,93.3229,1.87696,3.23505,1.56453,0.71341,0.64613,0.66641,0.25226,2.02954,2.96045,1.63637,0.00151434,0.00151434,0.00151434
13,99.628,1.8826,3.10635,1.57216,0.68506,0.62973,0.6469,0.25962,1.96915,2.97107,1.61329,0.00150047,0.00150047,0.00150047
14,105.799,1.89896,3.16524,1.58253,0.66164,0.63908,0.65798,0.22814,2.1232,2.99148,1.71213,0.00148659,0.00148659,0.00148659
15,112.027,1.91626,3.16054,1.59405,0.67702,0.66197,0.68378,0.26614,2.07623,2.81428,1.6313,0.00147271,0.00147271,0.00147271
16,118.244,1.84651,2.97976,1.52586,0.72802,0.67296,0.70897,0.26782,2.03603,2.67574,1.5959,0.00145883,0.00145883,0.00145883
17,124.442,1.85205,2.88909,1.52212,0.75959,0.63961,0.69814,0.26638,2.06825,2.67189,1.62373,0.00144496,0.00144496,0.00144496
18,130.606,1.83729,2.86364,1.5429,0.76045,0.64878,0.70414,0.27455,2.00858,2.63986,1.62197,0.00143108,0.00143108,0.00143108
19,136.826,1.84084,2.82089,1.51929,0.74184,0.67033,0.74898,0.29542,2.02366,2.64349,1.60273,0.0014172,0.0014172,0.0014172
20,142.958,1.83885,2.88791,1.55545,0.78276,0.66383,0.74723,0.29849,2.01104,2.53343,1.62377,0.00140332,0.00140332,0.00140332
21,149.106,1.80819,2.73997,1.50742,0.77237,0.60181,0.70502,0.27309,2.05942,2.70544,1.61499,0.00138944,0.00138944,0.00138944
22,155.328,1.82115,2.76241,1.51062,0.71803,0.67921,0.71724,0.27199,2.05849,2.60356,1.64382,0.00137557,0.00137557,0.00137557
23,161.444,1.80875,2.68948,1.50421,0.73846,0.71358,0.75047,0.29066,2.03808,2.52759,1.61819,0.00136169,0.00136169,0.00136169
24,167.606,1.83606,2.71263,1.51052,0.70192,0.67149,0.71672,0.26314,2.08132,2.62017,1.64934,0.00134781,0.00134781,0.00134781
