epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2299,2.3925,6.61537,2.15991,0.02559,0.52644,0.23436,0.07722,2.15261,6.4078,1.91643,0.00048343,0.00048343,0.00048343
2,29.9497,2.08959,4.80691,1.88538,0.38853,0.2227,0.28508,0.0917,2.1377,5.22256,1.88768,0.000975338,0.000975338,0.000975338
3,38.4251,2.03406,4.40871,1.83366,0.40072,0.44863,0.3566,0.11704,2.22292,4.85426,1.96415,0.00145892,0.00145892,0.00145892
4,46.7537,2.03594,4.30098,1.84765,0.45682,0.52559,0.46267,0.16242,2.1854,3.9394,1.90504,0.00162535,0.00162535,0.00162535
5,55.7957,1.98659,3.99555,1.76887,0.41983,0.45068,0.3778,0.12271,2.27235,4.17478,1.91606,0.00161146,0.00161146,0.00161146
6,65.4064,1.98033,3.83275,1.72383,0.50147,0.49174,0.49366,0.16181,2.16513,3.6303,1.81188,0.00159758,0.00159758,0.00159758
7,75.8101,1.96921,3.72735,1.70425,0.61191,0.53521,0.56683,0.20242,2.13968,3.40185,1.82629,0.00158369,0.00158369,0.00158369
8,86.1273,1.94833,3.6505,1.6807,0.6068,0.58503,0.55897,0.19528,2.21911,3.42932,1.90556,0.00156981,0.00156981,0.00156981
9,96.227,1.89581,3.54326,1.66353,0.61113,0.62986,0.64089,0.23849,2.01839,3.11476,1.7443,0.00155592,0.00155592,0.00155592
10,105.96,1.89689,3.45551,1.65909,0.62117,0.60265,0.59953,0.21434,2.05201,3.20138,1.77723,0.00154204,0.00154204,0.00154204
11,116.775,1.87105,3.47104,1.65354,0.68591,0.61753,0.66648,0.24873,2.03083,3.05284,1.71608,0.00152815,0.00152815,0.00152815
12,126.1,1.91095,3.36834,1.64331,0.72299,0.67517,0.70394,0.25666,2.02678,3.26486,1.77768,0.00151427,0.00151427,0.00151427
13,135.26,1.86082,3.24123,1.60366,0.67608,0.65665,0.68285,0.25305,2.03915,3.02301,1.7624,0.00150038,0.00150038,0.00150038
14,145.416,1.87519,3.30728,1.64263,0.69134,0.57348,0.64112,0.23322,2.1502,3.05237,1.80022,0.0014865,0.0014865,0.0014865
15,156.905,1.90222,3.24974,1.64756,0.67479,0.65832,0.70576,0.26576,1.99694,2.94168,1.70882,0.00147261,0.00147261,0.00147261
16,165.713,1.8209,3.10515,1.58902,0.7357,0.62169,0.69352,0.24497,2.0846,2.87144,1.71167,0.00145873,0.00145873,0.00145873
17,174.379,1.85123,3.06097,1.58491,0.725,0.65964,0.72621,0.27012,2.0793,2.75548,1.72732,0.00144484,0.00144484,0.00144484
18,184.262,1.83721,2.90705,1.58571,0.77229,0.62805,0.72302,0.26806,2.04294,2.84523,1.75202,0.00143096,0.00143096,0.00143096
19,193.926,1.85294,2.95622,1.59463,0.79761,0.65199,0.75301,0.29618,1.97298,2.66395,1.65335,0.00141708,0.00141708,0.00141708
20,203.925,1.81863,2.95985,1.57973,0.75106,0.66131,0.74095,0.28942,2.06175,2.69514,1.71005,0.00140319,0.00140319,0.00140319
21,212.35,1.82411,2.89228,1.58494,0.67037,0.67049,0.74144,0.26385,2.09622,2.72942,1.7442,0.00138931,0.00138931,0.00138931
22,222.74,1.8198,2.80807,1.58631,0.74759,0.6655,0.74162,0.28224,2.06559,2.67769,1.7232,0.00137542,0.00137542,0.00137542
23,232.24,1.80794,2.84503,1.57562,0.75581,0.69614,0.74491,0.27709,2.1114,2.66672,1.7494,0.00136154,0.00136154,0.00136154
24,242.475,1.84745,2.86286,1.59949,0.73032,0.70512,0.75245,0.2729,2.09748,2.7449,1.74763,0.00134765,0.00134765,0.00134765
25,253.711,1.82185,2.85873,1.59369,0.79614,0.68224,0.77916,0.30808,2.02361,2.56815,1.69261,0.00133377,0.00133377,0.00133377
26,263.755,1.78094,2.7704,1.55372,0.76909,0.67755,0.74131,0.27111,2.10634,2.62043,1.75543,0.00131988,0.00131988,0.00131988
27,275.086,1.82292,2.77892,1.57363,0.77098,0.73821,0.78793,0.31818,1.9912,2.40623,1.63808,0.001306,0.001306,0.001306
28,284.204,1.83031,2.72174,1.56187,0.75299,0.6996,0.77479,0.29812,2.04921,2.497,1.6602,0.00129211,0.00129211,0.00129211
29,295.303,1.81257,2.79817,1.57787,0.76108,0.66579,0.75079,0.2803,2.08652,2.62807,1.74157,0.00127823,0.00127823,0.00127823
30,303.717,1.78057,2.62318,1.55897,0.72453,0.68323,0.73857,0.26572,2.13338,2.55478,1.73948,0.00126434,0.00126434,0.00126434
31,312.439,1.80245,2.61383,1.55049,0.75052,0.71058,0.78451,0.31432,1.97338,2.50143,1.68189,0.00125046,0.00125046,0.00125046
32,321.82,1.78517,2.68292,1.54155,0.75809,0.68691,0.76718,0.2932,2.04976,2.57761,1.73055,0.00123657,0.00123657,0.00123657
33,330.77,1.8178,2.73545,1.58881,0.74237,0.76634,0.77951,0.30532,2.04515,2.32326,1.70649,0.00122269,0.00122269,0.00122269
34,339.495,1.74651,2.49066,1.51682,0.74931,0.7318,0.76431,0.29241,2.12373,2.44607,1.73946,0.0012088,0.0012088,0.0012088
35,347.902,1.72509,2.48177,1.48493,0.76869,0.72421,0.76795,0.30184,2.06244,2.37925,1.72166,0.00119492,0.00119492,0.00119492
