epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7336,2.19409,4.0028,7.41151,1.74698,0.28862,0.22948,0.19276,0.11758,0.25434,0.18449,0.17934,0.08754,1.64465,3.07195,5.56964,1.38361,0.00028339,0.00028339,0.00028339
2,47.827,1.71213,3.12237,4.74137,1.4421,0.26203,0.24178,0.20503,0.12532,0.30723,0.17665,0.18388,0.09874,1.47806,2.96683,5.30349,1.33709,0.00057859,0.00057859,0.00057859
3,65.1137,1.59189,2.96523,5.4818,1.38802,0.32884,0.23004,0.21063,0.13226,0.28424,0.22014,0.19584,0.10626,1.4403,2.74597,4.79679,1.32029,0.000868792,0.000868792,0.000868792
4,87.579,1.60414,2.8372,4.4054,1.36845,0.3415,0.21419,0.21525,0.11921,0.31391,0.18805,0.19528,0.08001,1.75598,3.16289,5.77136,1.59183,0.001154,0.001154,0.001154
5,103.877,1.74179,3.27937,4.66591,1.47672,0.26791,0.2189,0.20489,0.12226,0.24919,0.18271,0.18034,0.09648,1.65768,3.0538,9.67965,1.62754,0.0014342,0.0014342,0.0014342
6,117.447,1.73216,3.08384,4.4542,1.50641,0.12723,0.18642,0.09953,0.05276,0.11083,0.16836,0.08692,0.03858,1.76092,3.53967,7.21703,1.6821,0.00159758,0.00159758,0.00159758
7,129.64,1.826,3.20611,4.52387,1.54759,0.27578,0.19284,0.18484,0.10661,0.27197,0.17507,0.18049,0.09284,1.73821,3.10854,6.99351,1.55397,0.00158369,0.00158369,0.00158369
8,147.877,1.71805,3.14762,4.36158,1.46455,0.72711,0.1886,0.21295,0.12338,0.73587,0.1693,0.18113,0.07439,1.69138,3.58659,4.25214,1.52014,0.00156981,0.00156981,0.00156981
9,170.15,1.79643,3.11444,4.53722,1.51043,0.61828,0.12193,0.08149,0.04655,0.65236,0.09298,0.07475,0.03505,1.88362,3.92127,5.37899,1.66493,0.00155592,0.00155592,0.00155592
10,191.799,1.74952,2.84532,3.74011,1.48895,0.7547,0.17105,0.19475,0.10812,0.76066,0.1614,0.1769,0.08995,1.72899,3.30339,4.09829,1.53909,0.00154204,0.00154204,0.00154204
11,211.645,1.82732,2.88905,3.85255,1.59195,0.79365,0.20614,0.23235,0.13782,0.79874,0.20175,0.21744,0.10508,1.76168,3.07069,3.656,1.5087,0.00152815,0.00152815,0.00152815
12,231.17,1.84775,3.0424,3.9809,1.54273,0.83056,0.22544,0.26489,0.15542,0.81451,0.22368,0.24549,0.12522,1.70821,2.87226,3.40376,1.54758,0.00151427,0.00151427,0.00151427
13,252.256,1.78295,3.1035,3.60686,1.50612,0.78116,0.23509,0.2479,0.14123,0.74482,0.21228,0.18466,0.07779,1.63278,2.94861,3.61012,1.51566,0.00150038,0.00150038,0.00150038
14,271.269,1.71465,2.8937,3.68116,1.46438,0.82165,0.2278,0.26677,0.15721,0.81777,0.21842,0.24121,0.11548,1.5837,2.82899,3.34184,1.42638,0.0014865,0.0014865,0.0014865
