epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8295,2.51304,6.65669,2.23263,0.30854,0.25919,0.29544,0.10835,2.24766,19.0296,1.99707,0.00048343,0.00048343,0.00048343
2,33.6372,2.03145,4.59553,1.87907,0.43069,0.45003,0.40558,0.13825,2.20025,4.31248,2.04325,0.000975338,0.000975338,0.000975338
3,48.4334,2.03535,4.17941,1.84105,0.33126,0.45431,0.35724,0.11554,2.28943,3.77775,2.03588,0.00145892,0.00145892,0.00145892
4,62.7111,2.05965,4.13555,1.93182,0.79293,0.26654,0.28211,0.10981,2.22516,4.07693,2.14666,0.00162535,0.00162535,0.00162535
5,76.2161,2.02812,4.18515,1.95021,0.44455,0.45865,0.42276,0.1556,2.11755,3.60174,2.0871,0.00161146,0.00161146,0.00161146
6,89.8003,1.97795,3.8694,1.81719,0.3264,0.45863,0.38607,0.13971,2.21608,3.75175,1.96103,0.00159758,0.00159758,0.00159758
7,106.11,1.99178,3.45932,1.8064,0.52682,0.59491,0.55587,0.20127,2.08745,3.33716,1.98701,0.00158369,0.00158369,0.00158369
8,122.874,1.98819,3.3998,1.79285,0.49992,0.54497,0.49511,0.1895,2.06211,3.65787,1.90014,0.00156981,0.00156981,0.00156981
9,139.193,1.95239,3.23783,1.74255,0.56557,0.47496,0.47997,0.17639,2.10802,3.64934,1.94713,0.00155592,0.00155592,0.00155592
10,154.093,1.9409,3.17371,1.75874,0.58906,0.57606,0.58552,0.21579,2.08798,3.17509,1.89069,0.00154204,0.00154204,0.00154204
11,167.643,1.89148,3.12287,1.76165,0.65846,0.61332,0.61258,0.23197,2.03336,2.94249,1.87016,0.00152815,0.00152815,0.00152815
12,181.163,1.9164,2.9735,1.75828,0.65325,0.59299,0.61235,0.22071,2.11167,2.92624,1.93805,0.00151427,0.00151427,0.00151427
13,194.542,1.92613,2.84589,1.74874,0.6502,0.65718,0.65659,0.26096,1.99139,2.79894,1.84378,0.00150038,0.00150038,0.00150038
14,208.143,1.92671,2.9696,1.74725,0.64199,0.64621,0.63969,0.21781,2.24109,3.01658,1.95988,0.0014865,0.0014865,0.0014865
15,221.588,1.92306,2.93515,1.74525,0.69727,0.63348,0.68615,0.24971,2.03888,2.74188,1.87761,0.00147261,0.00147261,0.00147261
16,235.107,1.87067,2.78906,1.72488,0.65408,0.589,0.62117,0.23179,2.16804,2.69757,1.93882,0.00145873,0.00145873,0.00145873
17,248.53,1.89003,2.86136,1.70576,0.66673,0.70393,0.70393,0.27158,2.12214,2.62747,1.87369,0.00144484,0.00144484,0.00144484
18,262.033,1.85151,2.71251,1.67946,0.64836,0.63826,0.65158,0.23533,2.20322,2.94714,1.96152,0.00143096,0.00143096,0.00143096
19,275.573,1.88127,2.73783,1.72975,0.69283,0.728,0.71384,0.27164,2.05014,2.72203,1.8504,0.00141708,0.00141708,0.00141708
20,289.131,1.83356,2.80537,1.71525,0.70158,0.65974,0.70331,0.25494,2.14812,2.73135,1.9642,0.00140319,0.00140319,0.00140319
21,302.653,1.83375,2.69814,1.71433,0.68444,0.73075,0.72933,0.2849,2.12063,2.62161,1.90385,0.00138931,0.00138931,0.00138931
22,316.999,1.81044,2.55124,1.68632,0.68515,0.69392,0.71675,0.257,2.17118,2.5878,1.93931,0.00137542,0.00137542,0.00137542
23,331.302,1.80933,2.5942,1.67425,0.79043,0.71111,0.77779,0.28858,2.13286,2.48331,1.89008,0.00136154,0.00136154,0.00136154
24,345.163,1.8646,2.58505,1.69948,0.75537,0.69834,0.76089,0.28341,2.10559,2.44697,1.88532,0.00134765,0.00134765,0.00134765
25,358.78,1.83521,2.6373,1.70344,0.70086,0.71178,0.7373,0.28236,2.11253,2.58647,1.89951,0.00133377,0.00133377,0.00133377
26,372.658,1.78373,2.56579,1.65165,0.70488,0.66986,0.70992,0.26465,2.09334,2.60566,1.88347,0.00131988,0.00131988,0.00131988
27,386.42,1.82334,2.51332,1.68722,0.74236,0.70311,0.77407,0.30109,2.03697,2.36466,1.85475,0.001306,0.001306,0.001306
28,403.054,1.84143,2.50072,1.68641,0.72899,0.71315,0.74723,0.27275,2.12114,2.54342,1.88776,0.00129211,0.00129211,0.00129211
29,420.785,1.81563,2.55772,1.66989,0.76761,0.68975,0.75832,0.30246,2.06442,2.4625,1.87286,0.00127823,0.00127823,0.00127823
30,437.876,1.77206,2.42799,1.64993,0.7663,0.74413,0.77987,0.28844,2.03386,2.38635,1.84371,0.00126434,0.00126434,0.00126434
31,455.093,1.78293,2.40703,1.64487,0.79195,0.73407,0.79651,0.31141,2.07111,2.30134,1.8394,0.00125046,0.00125046,0.00125046
32,472.035,1.77525,2.41181,1.65215,0.78347,0.70227,0.78937,0.28792,2.09794,2.32548,1.88306,0.00123657,0.00123657,0.00123657
33,485.354,1.79062,2.45255,1.6695,0.77095,0.7379,0.79252,0.30586,2.09883,2.28515,1.84443,0.00122269,0.00122269,0.00122269
34,499.558,1.71665,2.27139,1.59817,0.77627,0.74205,0.79388,0.29485,2.12187,2.36736,1.88951,0.0012088,0.0012088,0.0012088
35,513.497,1.71722,2.22359,1.59455,0.74738,0.7185,0.75982,0.27032,2.20886,2.30416,1.96899,0.00119492,0.00119492,0.00119492
36,528.931,1.75932,2.26969,1.63399,0.75569,0.65314,0.75485,0.27399,2.18236,2.36723,1.9686,0.00118103,0.00118103,0.00118103
37,542.435,1.76642,2.32627,1.63457,0.77694,0.72325,0.79929,0.30434,2.09111,2.35307,1.88933,0.00116715,0.00116715,0.00116715
38,556.034,1.73497,2.27558,1.61555,0.7586,0.70812,0.75627,0.28498,2.12522,2.42821,1.89857,0.00115327,0.00115327,0.00115327
39,569.264,1.73673,2.26072,1.61139,0.81258,0.71816,0.78788,0.31568,2.10912,2.25209,1.89339,0.00113938,0.00113938,0.00113938
40,582.205,1.73955,2.291,1.6153,0.76454,0.73644,0.79303,0.31449,2.12701,2.30788,1.88853,0.0011255,0.0011255,0.0011255
41,596.027,1.67761,2.11341,1.57357,0.79921,0.75529,0.79734,0.32592,2.07037,2.20819,1.86096,0.00111161,0.00111161,0.00111161
42,609.845,1.72633,2.14356,1.6218,0.79047,0.70631,0.77206,0.29277,2.14484,2.25226,1.88431,0.00109773,0.00109773,0.00109773
43,623.359,1.73703,2.19333,1.62151,0.79703,0.69661,0.78038,0.31896,2.0381,2.24586,1.85379,0.00108384,0.00108384,0.00108384
44,636.923,1.68824,2.17938,1.57481,0.7654,0.75025,0.78968,0.32073,2.0491,2.22074,1.85662,0.00106996,0.00106996,0.00106996
45,654.233,1.71586,2.11358,1.576,0.8157,0.73089,0.77822,0.29424,2.13683,2.13065,1.93111,0.00105607,0.00105607,0.00105607
46,669.345,1.67726,2.00971,1.56609,0.77379,0.7642,0.81373,0.32014,2.02054,2.12235,1.85051,0.00104219,0.00104219,0.00104219
47,683.016,1.65294,2.08249,1.55792,0.80445,0.7073,0.79389,0.32454,2.04367,2.10798,1.86985,0.0010283,0.0010283,0.0010283
48,699.28,1.69423,2.06441,1.60167,0.82818,0.73179,0.79933,0.3079,2.13713,2.11183,1.93473,0.00101442,0.00101442,0.00101442
49,713.056,1.67514,2.05575,1.57842,0.79802,0.76982,0.8145,0.32244,2.1081,2.0683,1.8834,0.00100053,0.00100053,0.00100053
50,726.533,1.66005,1.98133,1.57174,0.7826,0.7142,0.78314,0.30337,2.16325,2.18247,1.92346,0.000986649,0.000986649,0.000986649
51,740.024,1.67181,2.02181,1.57605,0.81239,0.72691,0.79638,0.30786,2.12795,2.19169,1.91278,0.000972764,0.000972764,0.000972764
52,753.759,1.64054,2.01082,1.55961,0.77176,0.75628,0.79241,0.31407,2.14996,2.14605,1.92335,0.000958879,0.000958879,0.000958879
53,767.467,1.66603,1.99759,1.57305,0.80421,0.73322,0.79813,0.31521,2.09915,2.01982,1.85809,0.000944995,0.000944995,0.000944995
54,781.019,1.64836,1.9704,1.52936,0.7923,0.75611,0.8045,0.31696,2.0793,2.13899,1.84349,0.00093111,0.00093111,0.00093111
55,794.614,1.66569,2.0897,1.58105,0.82596,0.72288,0.79861,0.30898,2.15182,2.13374,1.93947,0.000917225,0.000917225,0.000917225
